"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"糖小智","Service","AccountServiceImpl/getAccountList","0","0","1","0","0"
"糖小智","HospitalService","","2","0","9","0","0"
"糖小智","addHospital_IdMinMinus","","1","0","0","0","0"
"糖小智","AdminController","","2","2","0","0","0"
"糖小智","Service","AccountServiceImpl/addAccountSuccess","0","0","1","0","0"
"糖小智","Service","AccountServiceImpl/addAccountWithInvalidInputs","0","0","3","0","0"
"糖小智","testDeleteHospitalNotFound","","0","0","1","0","0"
"糖小智","addHospital_IdMin","","0","0","1","0","0"
"糖小智","Service","AccountServiceImpl/testRepeatedIdCard","0","0","1","0","0"
"糖小智","addHospital_IdMinPlus","","0","0","1","0","0"
"糖小智","addHospital_IdMaxMinus","","0","0","1","0","0"
"糖小智","Service","AccountServiceImpl/testDeleteAccountWithIllegalId","0","0","1","0","0"
"糖小智","Service","AccountServiceImpl/deleteAccountSuccess","0","0","1","0","0"
"糖小智","addHospital_IdMax","","0","0","1","0","0"
"糖小智","addHospital_DatabaseConnectionFailure","","0","0","1","0","0"
"糖小智","addHospital_IdMaxPlus","","1","0","0","0","0"
"糖小智","deleteHospitalSuccess","","0","0","1","0","0"
"糖小智","Service","","0","0","1","0","0"
"糖小智","testDeleteHospitalIllegal","","0","0","1","0","0"
"","","","0","0","1","0","0"
